skrúðgrænn,947
gráhvítur,936
gráhvítur,935
hvítagull (platína),934
Rauðhóll,930
fölbleikur,927
gulvíðir,909
Grábrók,904
roðamaur,904
svartþröstur,902
brúnsanseraður,882
Blátún,879
bleikrauður,879
bleikrauður,872
helblár,861
Rauðavað,861
Rauðsey,859
sortulyng,856
blóðroðna,855
Rauðafell,854
silfurhvítur,851
Rauðsgil,848
dreyrrauður,837
Rauðaberg,830
grásprengdur,827
Hvítserkur,819
beinhvítur,817
Svertingsstaðir,817
gullroðinn,809
algrænn,798
djúpblár,798
gráklæddur,797
skærblár,795
skærgulur,792
Hvítrússneskur,790
brúnkol,786
bláhiminn,782
kaffibrúnn,782
Svartskeggur,777
rauðstjörnóttur,776
Rauðanes,774
blánótt,771
hvítuefni,769
grámygla,763
grályndur,759
hvanngrænn,755
stokkroðna,739
blárauður,734
skærgrænn,731
blárauður,730
heiðgulur,726
blóðrjóður,716
grályndi,714
rauðbrystingur,714
hvítkalkaður,708
Rauðaskriða,707
hvítflibbi,705
rauðanótt,704
grásíða,691
ígulur,691
skærbleikur,678
hvítsmári,676
rauðbleikur,675
gulhvítur,674
gulhvítur,672
hvítglóandi,670
grænmálaður,668
blákorn,667
ryðrauður,665
skarlatsrauður,665
bleikálóttur,658
brúneygður,653
skærrauður,650
fölblár,648
sólroði,646
úlfgrár,645
dimmrauður,643
rauðviður,643
náhvítur,638
rauðihjalli,638
grænfáni,636
sæblár,635
alsvartur,632
hvítmála,623
grálegur,621
Svarthamar,617
hvítaskáld,612
tinnusvartur,608
þvottablámi,606
mógrár,605
rauðsmári,601
Rauðholt,598
kafroðna,594
grávíðir,591
rauðgrænn,590
rauðgrænn,590
grásvartur,589
grásvartur,588
blátönn,581
lillablár,581
gráskeggjaður,569
bláfáni,568
hrímhvítur (móðir),568
Bláland,565
blámálaður,557
Rauðkollur,553
bláröndóttur,552
brúnspónn,552
flöskugrænn,552
Grænihjalli,550
perluhvítur,549
Grænaborg,548
Rauðköflóttur,548
svarblár,546
kóngablár,544
gulrauður,541
gulgrár,539
gulgrár,537
gulrauður,537
Rauðsól,535
rauðkolla,533
roðasteinn,530
silfurblár,528
hvítmálmur,526
hvítþvottur,520
Grænanes,517
Hvítlist,517
Bláhvammur,515
hvítskúra,515
sumargrænn,515
hvítgrár,514
hvítgrár,513
brúnkaka,510
grænþörungur,506
laufgrænn,505
rauðagull,505
bleikiefni,502
grátónn,502
fölgrænn,500
Blástjarna,484
blábyrjun,478
gullbrúnn,477
bláedrú,475
kolblár,475
hvítskúraður,474
blýgrár,471
svartálfur,467
rauðgullinn,461
mjólkurhvítur,456
grasgrænn,451
hvítmáfur,450
grænhöfði,448
svartliði,446
svartmálaður,444
Svartifoss,442
grábölvaður,441
brúneygur,440
bláendi,439
fölgulur,438
óbleiktur,435
gulstör,428
hvítgreni,425
svartflekkóttur,422
gráskjóttur,421
gráskeggur,420
kastaníubrúnn,418
svartipétur,418
grængolandi,416
Hvítingavegur,416
koksgrár,415
grákollur,414
rauðblár,414
vatnsblár,414
rauðblár,412
grasgræna,411
brúnterta,410
dimmgrænn,408
hvítaskata (raja lintea),407
grátóna,406
rauðhöfði,405
Grákolla,404
bládjúp,403
blálilja,401
bleksvartur,400
sólgulur,396
appelsínurauður,395
grámóska,392
rauðablástur,392
súkkulaðibrúnn,392
grænkeri,391
Grænatunga,390
Bláskeggur,385
gráfölur,385
sótroðna,382
hvítfextur,381
Hvítmaga,381
hélugrár,380
rauðskjöldóttur,380
svartskjöldóttur,380
bládjúpur,377
rauðrefur,377
eldroðna,372
gulaldin (sítróna),372
rósroði,372
aftanroði,371
rauðskeggur,363
svargrár,363
gulusótt,361
hvítblár,359
rjómagulur,354
lifrauður,353
rauðskeggjaður,352
bláloft,351
alrauður,350
gulbleikur,349
rauðjarpur,349
gulbleikur,348
Rauðsíða,348
mjólkurhvíta,346
eirrauður,344
grábjörn,344
myrkblár,344
Rauðsdalur,344
dökkgulur,343
hvítblár,342
eiturgrænn,340
spanskgræna,338
gulmaðra,336
bláhorn,334
svartleitur,334
gráhegri,333
laxableikur,333
svarbrúnn,331
Brúnulaug,330
gulmálaður,330
svartlið,330
svartskeggjaður,327
sólhvítur,323
grátittlingur,319
svartlisti,319
Svartfell,318
brúnstjörnóttur,317
svartstakkur,314
bleikjustofn,307
spanskgrænn,304
grængulur,300
gulönd,299
kolgrár,299
grængulur,297
draumablár,295
Grænadyngja,293
rauðgrautur,293
svarteygur,293
Rauðikross,291
bláttáfram,290
Grænigarður,290
grágulur,290
grágulur,290
rauðröndóttur,287
grænbók,285
blábjáni,284
rauðaviður,281
blákolla,277
hærugrár,277
brimhvítur,276
mýrarrauði,274
bláköflóttur,272
eggjagult (eggjaduft),272
hreinhvítur,272
hvítkollóttur,272
hvítgulur,271
hvítgulur,271
gljásvartur,270
ryðbrúnn,270
safírblár,269
heiðblámi,268
skjallhvítur,267
Blákollur,266
Hvítahúsið,265
sinnepsgulur,265
Grændalur,264
sægrár,264
stálblár,264
rauðflekkóttur,263
sítrónugulur,263
djúprauður,262
fagurbleikur,262
bláhvalur,260
Bleiksá,260
grálúsugur,260
blábrún,259
vorgrænn,258
írauður,255
skolgrár,255
Hvítabandið,254
rauðaldin (tómatur),254
dökkbleikur,251
Rauðháls,251
brúnstakkur,250
rauðþrútinn,250
gráþröstur,249
Hvítfeld,249
Grænahlið,248
rauðhaus,248
ísblár,244
berjablár,243
svartháfur,243
blágóma,241
græneygður,241
svartminkur,240
rauðkrít,239
svartagall,239
svartkrít,239
hvítrússneska,238
Rauðaborg,238
grængrár,237
Grænilækur,235
gullrauður,235
rauðnefjaður,234
hvítbláinn,231
rúbínrauður,230
svartfellskur,230
ólífugrænn,229
blásól,228
blástör,227
svartblár,227
grængrár,226
hvítagaldur,226
svartblár,226
Grænafell,223
rauðiviður,223
bleikjuseiði,222
gráflekkóttur,222
gráeygur,220
andlitsroði,219
gullroði,219
Hvíteyri,219
skolbrúnn,219
hvítalogn,218
Einbúablá,217
hvítigaldur,216
hvítskeggjaður,216
Rauðþörungur,215
Hvítbláinn,214
svartabylur,214
hvítidauði (berklar),212
Hvítuhlíð,209
perlugrár,209
gráeygður,208
brúnkumeðferð,207
rauðgrár,207
brúnþörungur,206
Gránufélag,206
gráyrjóttur,206
Svartsson,206
rauðgrár,205
sterkrauður,205
gráönd,203
túrkisblár,200
sterkgulur,199
Grænibakki,198
kríthvítur,197
sólarroði,197
svartbjörn,197
Rauðsendingur,196
blábanki,195
hvíthákarl,193
sefgrænn,193
fölgrár,191
fagurbrúnn,190
koparbrúnn,190
kremgulur,190
brúngrár,189
brúngrár,189
fölrauður,189
gráspör,189
hvítsaumur,189
útblár,189
Gulá,188
kolgrænn,188
rauðamyrkur,188
brúngulur,187
brúngulur,187
grákaldur,187
svartbotnóttur,187
Rauðbrá,186
grábleikur,185
mósvartur,185
roðablettur,185
bleikskjóttur,184
rauðkorn,184
svartalogn,182
Grænafjall,180
gulbrá,180
dagroði,177
Hvítsstaðir,177
blálitaður,176
rauðhvítur,175
rauðhvítur,175
svartabrauð,175
feitisverta,174
bleikfölur,173
rauðber,173
rósbleikur,173
grænbrúnn,171
grænbrúnn,171
fjólurauður,170
bláheiður,168
grádröfnóttur,168
hvítmávur,168
okkurgulur,168
grámunkur,167
rauðeygur,167
bleiklax,166
gullgulur,166
brúnblesóttur,165
rjómahvítur,164
sílgrænn,164
grábleikur,163
titanhvíta,163
bleikblesóttur,162
apalgrár,160
blárósóttur,160
gráröndóttur,160
smaragðsgrænn,160
bláhveli,159
svartreita,159
brúnkál,158
svarteygður,158
rauðálfur,157
svartbók,157
bleikleitur,156
hvítfruma,156
ígrænn,156
kirsuberjarauður,156
rauðabíti,156
brúnrotta,155
græningjaflokkur,155
rauðkembingur,154
æskurjóður,153
járngrár,153
svartmunkur,153
eldrjóður,152
kóralrauður,151
Rauðsstaðir,151
hrímgrár,150
Hvítafell,150
bláhvel,149
grænukorn,149
hvítfágaður,148
hvítmaðra,148
íblár,148
Íslandsbleikja,148
mógrænn,148
roðagylltur,148
Herrauður,147
rauðlitur,147
brúnsápa,146
grágletta,146
rauðlakkaður,145
rauðlita,145
húðroði,144
hvítflekkóttur,144
rústrauður,144
þokugrár,144
dimmgrár,143
hvítfreyðandi (brúðarkjóll!),142
blásveifgras,141
svartagull,141
tannhvíttun,141
bleikjuá,140
djúpgrænn,140
gráhvalur,140
hafblár,139
svertingjakona,139
æskuroði,137
brúnsvartur,137
marmarahvítur,137
Rauðfeldur,137
skjallahvítur,137
blástakkur,136
brúnrauður,136
brúnsvartur,136
bládimmur,134
brúnrauður,134
svartgljáandi,134
augnhvíta,133
rauðlitaður,133
bládökkur,132
Bláhnúkur,132
fjallablámi,132
Rauðsbakki,132
bláhjálmur,131
bláberg,130
bláþráðóttur,130
daufgrænn,130
rauðsanseraður,130
blanksverta,129
grænröndóttur,129
kuldablár,129
blávingull,128
daufblár,128
gráreynir,128
rauðauga,128
bleikjuafbrigði,127
brúnmálaður,126
dimmbrúnn,126
gulbjartur,126
gulkollur,126
hvítreita.lo,126
Blágil,125
vorblár,125
bleikgulur,124
bleikgulur,124
glórauður,124
sterkgrænn,124
blátunna,122
hnotubrúnn,122
svartröndóttur,122
græneygur,121
hvítfugl,120
rauðavín,120
Grænamörk,119
músgrár,119
svartbrúnn,119
svartbrúnn,119
gulröndóttur,118
hríðarsorti,118
rauðrósóttur,118
algrár,117
fagurhvítur,117
Bleiksmýri,116
brúnsokkóttur,116
daufgulur,116
elligrár,116
sortabylur,116
hvítrefur,115
rauðvindóttur,115
Brúnkolla,114
klógulur,114
rafgulur,114
svartmálmur,114
svartrotta,114
ísgrár,113
blágulur,112
blágulur,112
vígroði,112
bláfjóla,111
bláhvolf,110
rauðimelur,110
blásaumur,109
fagurgulur,109
gráskjöldóttur,109
logarauður,109
svartrót,108
bláliði,107
brúnamyrkur,107
krapablár,107
svartlitaður,107
brúnkusprautun,106
demantsvartur,106
grámengaður,106
hvítháfur,106
iðagræn,106
rauðhumla,106
glóbrúnn,105
grákollóttur,105
hunangsgulur,105
rauðsprengdur,105
snæhvítur,105
fölbrúnn,104
bleikjuflak,103
brúntóna,103
rauðihvammur,103
Rauðúlfur,103
sortaský,103
hvítlið,102
Rauðuhnúkar,102
koníaksbrúnn,101
náttsvartur,101
svertingjahverfi,101
fölhvítur,100
hvítsúkkulaði,100
bláþörungur,99
fífilbleikur,98
Grænahraun,98
grámulla,98
rauðfura,98
Rauðubjörg,98
sumarblár,98
blygðunarroði,97
græningjaháttur,97
hvítlakkaður,97
blágras,96
glóðrauður,96
leirbrúnn,96
gráköflóttur,95
svartbröndóttur,95
svartbrýndur,95
svartgrár,95
svartgrár,95
blátoppur,94
brúnhærður,94
draumblár,94
fagurrjóður,94
hnetubrúnn,94
hvítikristur,94
Blákápa,93
roðagullinn,93
rauðgylltur,92
bláfölur,91
brúnbröndóttur,91
roðablær,91
roðagull,91
fræhvíta,90
silkibleikur,90
blákrít,89
brúnflekkóttur,89
krómgulur,89
svarthosóttur,89
brennisteinsgulur,88
hvítatjald,88
ígrár,88
rauðstakkur,87
bládýpi,86
bláfiskur,86
Bláhöfði,86
Bláhver,86
bleikjuhrogn,86
grænhvítur,86
grænhvítur,85
grásilfur,85
gráviður,84
haustbleikur,84
svertingjadrengur,84
útrauður,84
blátunga,83
bleikjusótt,83
bleikklæddur,83
korngulur,83
milliblár,83
svartbíldóttur,83
árdagsroði,82
blánef,82
Brúnalda,82
grænlitur,82
gráýrður,82
hvítfálki (Falco rusticolus candicans),82
hvítkollur,82
Klaustursbleikja,82
rauðserkur,82
svarthöttóttur,82
grábotnóttur,81
grámáfur,81
hvítbleikur,81
regngrár,81
svertingjaþjóð,81
brúnkusprey,80
hvítbleikur,80
Hvítspói,80
hvíturíkur,80
moldbrúnn,80
Svartakaffi,80
Bláá,79
blákjamma,79
brúnköflóttur,79
Hvítfeldur,79
Svartúlfur,79
brúnbjörn,78
brúnkuklútur,78
liljuhvítur,78
snjakahvítur,78
Svartfoss,78
demantssvartur,77
græneðla,77
grápadda,77
Hvítey,77
Hvítufjöll,77
íðilgrænn,77
rauðvik,77
Svartafjall,77
brúnröndóttur,76
brúnsteinn,76
eldroði,76
hvítkorn,76
leirgulur,76
Blábjörn,75
gráblika,75
gráösp,75
heiðgrænn,75
karrígulur,75
svartgreni,75
ólafsrauður,74
rauðsokkóttur,74
hörundsroði,73
Hvítafjall,73
grænolía,72
rauðbröndóttur,72
ullhvítur,72
brúngrænn,71
brúngrænn,71
hágrænn,71
helluroði (lupus),71
Rauðagil,71
sinugrár,71
Grænagil,70
bláskær,69
feimnisroði,69
hvítfaldaður,69
svargrænn,69
Rauðsvík,68
tærblár,68
bládögg,67
gráelri,67
Grænaland,67
smaragðgrænn,67
spansgræna,67
svertingjastúlka,67
Bláháfur,66
brúnsúpa,66
eirgrænn,66
hvítbryddur,66
hvíthníflóttur,66
hvíthornóttur,66
Hvítisalur,66
kaldblár,66
svartkollóttur,66
gráblesóttur,65
haustgulur,65
hvíthyrndur,65
hvítmaur,65
slýgrænn,65
bleiksótt,64
kaldgrár,64
Rauðiskógur,64
Rauðiskógur,64
rauðsvartur,64
rauðsvartur,64
roðaglóð,64
svartviður,64
bláskyggður,63
gráröndungur,63
gráýróttur,63
gulblár,63
helgrár,63
hvítönd,63
algulur,62
Blávör,62
eldgulur,62
gulblár,62
nætursorti,62
Rauðhamar,62
strágulur,62
svartlakkaður,62
golgrænn,61
grábakur,61
gráteinóttur,61
